"HAFH",1,"D","071278",,,"05090",58.29,3800,1
"HAFH",1,"D","071278",,,"05091",10.92,3800,1
"HAFH",1,"D","071278",,,"05092",43.28,3800,1
"HAFH",1,"D","071278",,,"05094",106.35,3800,1
"HAFH",1,"D","071278",,,"05095",2,3800,9
"HAFH",1,"D","071278",,,"05096",129.35,3800,9
"HAFH",1,"D","071278",,,"05097",45.5,3800,9
"HAFH",1,"D","071278",,,"05098",24.25,3800,9
"HAFH",1,"D","071578",,,"05100",393.4,8160,2
"HAFH",1,"D","071578",,,"05101",13.66,8130,1
"HAFH",1,"D","071578",,,"05102",536.13,1611,1
"HAFH",1,"D","071578",,,"05103",60.,8154,2
"HAFH",1,"D","071578",,,"05104",1239.15,8160,1
"HAFH",1,"D","071578",,,"05105",102.55,8154,2
"HAFH",1,"D","071578",,,"05106",25.05,8154,2
"HAFH",1,"D","071578",,,"05107",24.75,8154,1
"HAFH",1,"D","071578",,,"05108",7.85,8154,1
"HAFH",1,"D","071578",,,"05109",1990.65,8151,9
"HAFH",1,"D","071578",,,"05110",175.05,8154,1
"HAFH",1,"D","071578",,,"05111",9.5,8132,1
"HAFH",1,"D","072078",,,"05112",26.03,8154,1
"HAFH",1,"D","071578",,,"05113",6.,8154,1
"HAFH",1,"D","072078",,,"05114",792.75,7500,1
"HAFH",1,"D","072078",,,"05115",10.85,8112,1
"HAFH",1,"D","072078",,,"05116",85.98,8154,1
"HAFH",1,"D","072078",,,"05117",497.88,8154,1
"HAFH",1,"D","072078",,,"05118",21.13,8154,2
"HAFH",1,"D","072078",,,"05119",65.37,8154,2
"HAFH",1,"D","072078",,,"05120",136.81,7600,1
"HAFH",1,"D","072078",,,"05121",9.,8154,1
"HAFH",1,"D","072078",,,"05122",413.77,8154,1
"HAFH",1,"D","072078",,,"05123",43.22,8154,1
"HAFH",1,"D","072078",,,"05124",156.41,8154,2
"HAFH",1,"D","072078",,,"05125",10.49,8154,1
"HAFH",1,"D","072078",,,"05126",377.12,7600,1
"HAFH",1,"D","072078",,,"05127",100.11,8133,1
"HAFH",1,"D","072078",,,"05128",265.90,3800,9
"HAFH",1,"D","072078",,,"05129",58.72,8160,1
"HAFH",1,"D","072078",,,"05130",6.31,8154,1
"HAFH",1,"D","072078",,,"05131",9.48,8133,2
"HAFH",1,"D","072078",,,"05132",13.72,8133,2
"HAFH",1,"D","072078",,,"05133",55.,8133,1
"HAFH",1,"D","072078",,,"05134",76.35,8133,1
"HAFH",1,"D","072078",,,"05135",76.35,8133,1
"HAFH",1,"D","072078",,,"05136",6.,8154,9
"HAFH",1,"D","072078",,,"05137",54.,8154,1
"HAFH",1,"D","072078",,,"05138",43.,8154,1
"HAFH",1,"D","072078",,,"05139",123.62,8133,1
"HAFH",1,"D","072078",,,"05140",7.85,8154,1
"HAFH",1,"D","072078",,,"05141",76.23,8120,1
"HAFH",1,"D","072078",,,"05142",37.43,8154,1
"HAFH",1,"D","072078",,,"05143",3000.,1113,2
"HAFH",1,"D","072078",,,"05144",7500.,1112,1
"HAFH",1,"D","072078",,,"05145",718.5,7500,1
"HAFH",1,"D","072078",,,"05146",48.5,8120,9
"HAFH",1,"D","072078",,,"05147",268.2,8112,1
"HAFH",1,"D","072078",,,"05148",103.37,8112,1
"HAFH",1,"D","072278",,,"05149",56.,8120,1
"HAFH",1,"D","072278",,,"05150",490.75,1611,1
"HAFH",1,"D","072278",,,"05151",500.,8153,2
"HAFH",1,"D","072278",,,"05153",15.,8154,2
"HAFH",1,"D","072478",,,"NOREF",82.,8154,1
"HAFH",1,"D","072478",,,"05177",30.,8133,2
"HAFH",1,"R","072978",,,"05178",-3372.,8141,9
"HAFH",1,"R","072978",,,"05179",-10.75,8133,2
"HAFH",1,"R","072978",,,"05180",-17.73,8120,8
"HAFH",1,"R","072978",,,"05181",-300.,8120,9
"HAFH",1,"R","072978",,,"05182",-10.,8133,1
"HAFH",1,"R","072978",,,"05183",-393.03,7600,1
"HAFH",1,"R","072978",,,"05184",-150.,1230,1
